Land;Name;Disziplin;Kategorie;Jahr;Ort;Geschlecht;Link
BRN;Ali Hasan Mahboob;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
USA;Amy Hastings;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
ESP;Ayad Lamdassem;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
ECU;Bayron Piedra;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
KEN;Bedan Karoki Muchiri;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
ETH;Beleynesh Oljira;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
AUS;Ben St.Lawrence;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
CAN;Cameron Levins;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
GBR;Christopher Thompson;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
ITA;Daniele Meucci;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
USA;Dathan Ritzenhein;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
MEX;Diego Estrada;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
RUS;Elizaveta Grechishnikova;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
AUS;Eloise Wellings;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
IRL;Fionnuala Britton;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
USA;Galen Rupp;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
ETH;Gebregziabher Gebremariam;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
JPN;Hitomi Niiya;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
USA;Janet Cherobon-Bawcom;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
GBR;Joanne Pavey;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
KEN;Joyce Chepkirui;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
GBR;Julia Bleasdale;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
JPN;Kayoko Fukushi;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
ETH;Kenenisa Bekele;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
USA;Lisa Uhl;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
USA;Matthew Tegenkamp;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
JPN;Mika Yoshikawa;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
GBR;Mo Farah;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
CAN;Mohammed Ahmed;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
UGA;Moses Ndiema Kipsiro;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
KEN;Moses Ndiema Masai;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
KSR;Moukheld Al-Outaibi;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
UKR;Mykola Labovskyy;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
ITA;Nadia Ejjafini;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
ERI;Nguse Tesfaldet;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
UKR;Olha Skrypak;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
TUR;Polat Kemboi Arikan;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
RWA;Robert Kajuga;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
GER;Sabrina Mockenhaupt;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
KEN;Sally Kipyego;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
POR;Sara Moreira;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
BRN;Shitaye Eshete;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
ETH;Tariku Bekele;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
