"Geschlecht","Jahr","count","sum","norm"
"Men",2012,12,1101,0.0108991825613079
"Men",2004,7,1094,0.00639853747714808
"Men",1984,3,872,0.00344036697247706
"Men",1996,2,1300,0.00153846153846154
"Men",2000,2,1291,0.00154918667699458
"Men",2008,2,1069,0.00187090739008419
"Men",1988,1,1076,0.000929368029739777
"Men",1992,1,1142,0.000875656742556918
"Women",2012,29,1003,0.028913260219342
"Women",2004,7,923,0.0075839653304442
"Women",1996,5,749,0.00667556742323097
"Women",2008,5,932,0.00536480686695279
"Women",1992,3,603,0.00497512437810945
"Women",2000,2,906,0.0022075055187638
"Women",1976,1,302,0.0033112582781457
"Women",1984,1,401,0.00249376558603491
