"Disziplin","count","sum","norm"
"1500-Meter-Lauf",8,654,0.0122324159021407
"Kugelstoßen",8,419,0.0190930787589499
"Marathon",8,1487,0.00537995965030262
"100-Meter-Lauf",6,1016,0.00590551181102362
"20-km-Gehen",6,639,0.00938967136150235
"4-mal-400-Meter-Staffellauf",6,1293,0.00464037122969838
"Weitsprung",6,569,0.0105448154657293
"400-Meter-Lauf",5,770,0.00649350649350649
"Diskuswurf",5,472,0.0105932203389831
"Hammerwurf",5,353,0.0141643059490085
"3000-Meter-Hindernislauf",4,368,0.0108695652173913
"4-mal-100-Meter-Staffellauf",4,1251,0.00319744204636291
"200-Meter-Lauf",3,787,0.00381194409148666
"50-km-Gehen",3,398,0.00753768844221105
"10.000-Meter-Lauf",2,552,0.0036231884057971
"100-Meter-Hürdenlauf",2,263,0.00760456273764259
"400-Meter-Hürdenlauf",2,513,0.00389863547758285
"5.000-Meter-Lauf",2,NA,NA
"5000-Meter-Lauf",2,457,0.00437636761487965
"800-Meter-Lauf",2,661,0.00302571860816944
"Heptathlon",2,252,0.00793650793650794
"Hochsprung",2,455,0.0043956043956044
"110-Meter-Hürdenlauf",1,308,0.00324675324675325
"Dreisprung",1,404,0.00247524752475248
"Speerwurf",1,508,0.00196850393700787
