"Land","Geschlecht","count","Jahr"
"AFG","Men",0,1976
"AHO","Men",2,1976
"ALB","Men",0,1976
"ALG","Men",0,1976
"AND","Men",0,1976
"ANG","Men",0,1976
"ANT","Men",0,1976
"ARG","Men",2,1976
"ARM","Men",0,1976
"ARU","Men",0,1976
"ASA","Men",0,1976
"AUS","Men",16,1976
"AUT","Men",3,1976
"AZE","Men",0,1976
"BAH","Men",7,1976
"BAN","Men",0,1976
"BAR","Men",7,1976
"BDI","Men",0,1976
"BEL","Men",17,1976
"BEN","Men",0,1976
"BER","Men",7,1976
"BIH","Men",0,1976
"BIR","Men",0,1976
"BIZ","Men",2,1976
"BLR","Men",0,1976
"BOL","Men",1,1976
"BOT","Men",0,1976
"BRA","Men",5,1976
"BRN","Men",0,1976
"BRU","Men",0,1976
"BUL","Men",4,1976
"BUR","Men",0,1976
"CAF","Men",0,1976
"CAM","Men",0,1976
"CAN","Men",36,1976
"CAY","Men",0,1976
"CGO","Men",0,1976
"CHA","Men",0,1976
"CHI","Men",1,1976
"CHN","Men",0,1976
"CIV","Men",7,1976
"CMR","Men",0,1976
"COD","Men",0,1976
"COK","Men",0,1976
"COL","Men",7,1976
"COM","Men",0,1976
"CPV","Men",0,1976
"CRC","Men",0,1976
"CRO","Men",0,1976
"CUB","Men",18,1976
"CUR","Men",0,1976
"CYP","Men",0,1976
"CZE","Men",0,1976
"DEN","Men",3,1976
"DJI","Men",0,1976
"DMA","Men",0,1976
"DOM","Men",1,1976
"ECU","Men",0,1976
"EGY","Men",0,1976
"ERI","Men",0,1976
"ESA","Men",0,1976
"ESP","Men",16,1976
"EST","Men",0,1976
"ETH","Men",0,1976
"EUN","Men",0,1976
"FIJ","Men",1,1976
"FIN","Men",25,1976
"FRA","Men",38,1976
"FRG","Men",37,1976
"FSM","Men",0,1976
"GAB","Men",0,1976
"GAM","Men",0,1976
"GBR","Men",31,1976
"GBS","Men",0,1976
"GDR","Men",23,1976
"GEO","Men",0,1976
"GEQ","Men",0,1976
"GER","Men",0,1976
"GHA","Men",0,1976
"GRE","Men",10,1976
"GRN","Men",0,1976
"GUA","Men",0,1976
"GUI","Men",0,1976
"GUM","Men",0,1976
"GUY","Men",0,1976
"HAI","Men",7,1976
"HKG","Men",0,1976
"HON","Men",3,1976
"HUN","Men",10,1976
"ICP","Men",0,1976
"INA","Men",0,1976
"IND","Men",4,1976
"IOA","Men",0,1976
"IRI","Men",4,1976
"IRL","Men",6,1976
"IRQ","Men",0,1976
"ISL","Men",5,1976
"ISR","Men",0,1976
"ISV","Men",2,1976
"ITA","Men",25,1976
"IVB","Men",0,1976
"JAM","Men",5,1976
"JOR","Men",0,1976
"JPN","Men",13,1976
"KAZ","Men",0,1976
"KEN","Men",0,1976
"KGZ","Men",0,1976
"KIR","Men",0,1976
"KOR","Men",0,1976
"KSA","Men",14,1976
"KUW","Men",6,1976
"LAN","Men",8,1976
"LAO","Men",0,1976
"LAT","Men",0,1976
"LBA","Men",0,1976
"LBR","Men",0,1976
"LCA","Men",0,1976
"LES","Men",0,1976
"LIB","Men",1,1976
"LIE","Men",1,1976
"LTU","Men",0,1976
"LUX","Men",3,1976
"MAD","Men",0,1976
"MAR","Men",0,1976
"MAS","Men",3,1976
"MAW","Men",0,1976
"MDA","Men",0,1976
"MDV","Men",0,1976
"MEX","Men",7,1976
"MGL","Men",0,1976
"MHL","Men",0,1976
"MKD","Men",0,1976
"MLI","Men",0,1976
"MLT","Men",0,1976
"MNE","Men",0,1976
"MON","Men",0,1976
"MOZ","Men",0,1976
"MRI","Men",0,1976
"MTN","Men",0,1976
"MYA","Men",0,1976
"NAM","Men",0,1976
"NCA","Men",5,1976
"NED","Men",3,1976
"NEP","Men",1,1976
"NGR","Men",0,1976
"NIG","Men",0,1976
"NOR","Men",8,1976
"NZL","Men",7,1976
"OMA","Men",0,1976
"PAK","Men",2,1976
"PAN","Men",1,1976
"PAR","Men",1,1976
"PER","Men",0,1976
"PHI","Men",1,1976
"PLE","Men",0,1976
"PLW","Men",0,1976
"PNG","Men",3,1976
"POL","Men",28,1976
"POR","Men",6,1976
"PRK","Men",3,1976
"PRY","Men",0,1976
"PUR","Men",9,1976
"QAT","Men",0,1976
"ROU","Men",6,1976
"RSA","Men",0,1976
"RUS","Men",0,1976
"RWA","Men",0,1976
"SAM","Men",0,1976
"SCG","Men",0,1976
"SEN","Men",8,1976
"SEY","Men",0,1976
"SIN","Men",0,1976
