"Geschlecht","Jahr","count","sum","norm"
"Men",2012,14,1088,0.0128676470588235
"Men",2004,7,1079,0.00648748841519926
"Men",1984,3,895,0.00335195530726257
"Men",1996,2,1302,0.00153609831029186
"Men",2000,2,1257,0.00159108989657916
"Men",2008,2,1082,0.00184842883548983
"Men",1988,1,1063,0.000940733772342427
"Men",1992,1,1104,0.000905797101449275
"Women",2012,29,992,0.0292338709677419
"Women",2004,7,916,0.00764192139737991
"Women",1996,5,755,0.00662251655629139
"Women",2008,5,974,0.00513347022587269
"Women",1992,3,622,0.00482315112540193
"Women",2000,2,880,0.00227272727272727
"Women",1976,1,303,0.0033003300330033
"Women",1984,1,385,0.0025974025974026
