"Disziplin","count","sum","norm"
"1500-Meter-Lauf",8,536,0.0149253731343284
"Kugelstoßen",8,321,0.0249221183800623
"Marathon",8,1487,0.00537995965030262
"100-Meter-Lauf",6,767,0.00782268578878748
"20-km-Gehen",6,657,0.0091324200913242
"4-mal-400-Meter-Staffellauf",6,2133,0.00281293952180028
"Weitsprung",6,462,0.012987012987013
"400-Meter-Lauf",5,599,0.00834724540901502
"Diskuswurf",5,370,0.0135135135135135
"Hammerwurf",5,240,0.0208333333333333
"3000-Meter-Hindernislauf",4,255,0.0156862745098039
"4-mal-100-Meter-Staffellauf",4,2119,0.00188768286927796
"200-Meter-Lauf",3,631,0.00475435816164818
"50-km-Gehen",3,407,0.00737100737100737
"10.000-Meter-Lauf",2,574,0.00348432055749129
"100-Meter-Hürdenlauf",2,188,0.0106382978723404
"400-Meter-Hürdenlauf",2,399,0.0050125313283208
"5.000-Meter-Lauf",2,NA,NA
"5000-Meter-Lauf",2,398,0.0050251256281407
"800-Meter-Lauf",2,497,0.00402414486921529
"Heptathlon",2,257,0.00778210116731518
"Hochsprung",2,366,0.00546448087431694
"110-Meter-Hürdenlauf",1,228,0.0043859649122807
"Dreisprung",1,325,0.00307692307692308
"Speerwurf",1,378,0.00264550264550265
