"Rank","Athlete","City","year","Discipline"
"G","Mo FARAH
                
                    
                    GBR","london","2012","10000m-men"
"S","Galen RUPP
                
                    
                    USA","london","2012","10000m-men"
"B","Tariku BEKELE
                
                    
                    ETH","london","2012","10000m-men"
"","Kenenisa BEKELE
                
                    
                    ETH","london","2012","10000m-men"
"","Bedan Karoki MUCHIRI
                
                    
                    KEN","london","2012","10000m-men"
"","Zersenay TADESE
                
                    
                    ERI","london","2012","10000m-men"
"","Teklemariam MEDHIN
                
                    
                    ERI","london","2012","10000m-men"
"","Gebregziabher GEBREMARIAM
                
                    
                    ETH","london","2012","10000m-men"
"","Polat Kemboi ARIKAN
                
                    
                    TUR","london","2012","10000m-men"
"","Moses Ndiema KIPSIRO
                
                    
                    UGA","london","2012","10000m-men"
"","Cameron LEVINS
                
                    
                    CAN","london","2012","10000m-men"
"","Moses Ndiema MASAI
                
                    
                    KEN","london","2012","10000m-men"
"","Dathan RITZENHEIN
                
                    
                    USA","london","2012","10000m-men"
"","Robert KAJUGA
                
                    
                    RWA","london","2012","10000m-men"
"","Nguse TESFALDET
                
                    
                    ERI","london","2012","10000m-men"
"","Thomas AYEKO
                
                    
                    UGA","london","2012","10000m-men"
"","Moukheld AL-OUTAIBI
                
                    
                    KSA","london","2012","10000m-men"
"","Mohammed AHMED
                
                    
                    CAN","london","2012","10000m-men"
"","Matthew TEGENKAMP
                
                    
                    USA","london","2012","10000m-men"
"","Ben ST LAWRENCE
                
                    
                    AUS","london","2012","10000m-men"
"","Diego ESTRADA
                
                    
                    MEX","london","2012","10000m-men"
"","Yuki SATO
                
                    
                    JPN","london","2012","10000m-men"
"","Ayad LAMDASSEM
                
                    
                    ESP","london","2012","10000m-men"
"","Daniele MEUCCI
                
                    
                    ITA","london","2012","10000m-men"
"","Christopher THOMPSON
                
                    
                    GBR","london","2012","10000m-men"
"","Mykola LABOVSKYY
                
                    
                    UKR","london","2012","10000m-men"
"","Wilson KIPROP
                
                    
                    KEN","london","2012","10000m-men"
"","Ali Hasan MAHBOOB
                
                    
                    BRN","london","2012","10000m-men"
"","Bayron PIEDRA
                
                    
                    ECU","london","2012","10000m-men"
"","Diego ESTRADA
                
                    
                    MEX","london","2012","10000m-men"
"","Yuki SATO
                
                    
                    JPN","london","2012","10000m-men"
"","Ayad LAMDASSEM
                
                    
                    ESP","london","2012","10000m-men"
"","Daniele MEUCCI
                
                    
                    ITA","london","2012","10000m-men"
"","Christopher THOMPSON
                
                    
                    GBR","london","2012","10000m-men"
"","Mykola LABOVSKYY
                
                    
                    UKR","london","2012","10000m-men"
NA,"Wilson KIPROP
                
                    
                    KEN","london","2012","10000m-men"
NA,"Ali Hasan MAHBOOB
                
                    
                    BRN","london","2012","10000m-men"
NA,"Bayron PIEDRA
                
                    
                    ECU","london","2012","10000m-men"
"G","David Lekuta RUDISHA
                
                    
                    KEN","london","2012","800m-men"
"S","Nijel AMOS
                
                    
                    BOT","london","2012","800m-men"
