"1","2","3","4","Game"
"5 August","Final"," Usain Bolt (JAM)","9.63 s","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.1"
"1","3","Artur Bruno Rojas","Bolivia","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.2"
"2","7","Devilert Arsene Kimbembe","Congo","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.3"
"3","4","Holder da Silva","Guinea-Bissau","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.4"
"4","8","Joseph Andy Lui","Tonga","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.5"
"5","6","Mohan Khan","Bangladesh","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.6"
"6","5","Kilakone Siphonexay","Laos","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.7"
"7","2","Christopher Lima da Costa","São Tomé and Príncipe","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.8"
NA,NA,"","","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.9"
"1","5","Jurgen Themen","Suriname","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.10"
"2","4","Fernando Lumain","Indonesia","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.11"
"3","2","Wilfried Bingangoye","Gabon","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.12"
"4","8","Liaquat Ali","Pakistan","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.13"
"5","6","Rodman Teltull","Palau","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.14"
"6","7","Tavevele Noa","Tuvalu","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.15"
"7","3","Timi Garstang","Marshall Islands","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.16"
NA,NA,"","","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.17"
"1","6","Béranger Aymard Bosse","Central African Republic","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.18"
"2","8","Yeo Foo Ee Gary","Singapore","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.19"
"3","4","Azneem Ahmed","Maldives","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.20"
"4","3","J'maal Alexander","British Virgin Islands","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.21"
"5","5","John Howard","Federated States of Micronesia","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.22"
